symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
BTCUSDT,4h,0.5,0.9999999999892357,0,929,275,249,207,198,0.5188374596284302,0.5248091602953281,0.5813953488249176,0.5516549598967012
BTCUSDT,4h,0.52,0.6544671689918787,321,608,194,160,133,121,0.5378289473595752,0.5480225988545756,0.6158730158534643,0.5799700996334355
BTCUSDT,4h,0.55,0.24004305704800816,706,223,83,69,41,30,0.5560538116342577,0.5460526315430229,0.7345132742712821,0.6264150894006408
BTCUSDT,4h,0.6,0.02260495156057476,908,21,10,9,1,1,0.5238095235600907,0.5263157891966759,0.9090909082644627,0.6666666615777778
