symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
ETHUSDT,15m,0.5,0.9999999999974141,0,3867,1447,1307,601,512,0.5296095164196286,0.5254175744352745,0.7386421643658059,0.6140462501789162
ETHUSDT,15m,0.52,0.7993276441665391,776,3091,1234,1090,414,353,0.5331607893868225,0.5309810671233607,0.7775677378652958,0.6310406497383767
ETHUSDT,15m,0.55,0.5143522110149616,1878,1989,880,740,200,169,0.5429864253366365,0.5432098765398568,0.8388941849300392,0.6594230000946438
ETHUSDT,15m,0.6,0.15153866045991327,3281,586,309,241,20,16,0.5614334470893954,0.5618181818079669,0.9507692307399763,0.7062857096001829
