symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
ETHUSDT,1h,0.5,0.9999999999973205,0,3732,910,858,1021,943,0.5174169346181205,0.51470588235003,0.49109552077446794,0.5026235796451048
ETHUSDT,1h,0.52,0.6934619506948193,1144,2588,615,583,736,654,0.5220247295188485,0.513355592650139,0.48463356973613375,0.49858126780107237
ETHUSDT,1h,0.55,0.27625937834867026,2701,1031,247,244,301,239,0.5315227933993063,0.5030549898064551,0.5082304526644397,0.5056294729836391
ETHUSDT,1h,0.6,0.005359056805987784,3712,20,5,9,1,5,0.29999999985,0.3571428568877551,0.49999999949999996,0.4166666614583334
