symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
ETHUSDT,5m,0.5,0.9999999999984235,0,6343,2310,2207,967,859,0.5166325082760261,0.5114013725912965,0.7289365730491356,0.6010928913270969
ETHUSDT,5m,0.52,0.6416522150391902,2273,4070,1659,1510,486,415,0.5270270270257321,0.5235089933716519,0.799903567980714,0.6328437869379738
ETHUSDT,5m,0.55,0.2263912974929428,4907,1436,641,516,155,124,0.554317548742658,0.5540190146883837,0.837908496721073,0.6670135227764881
ETHUSDT,5m,0.6,0.010720479268468043,6275,68,16,14,27,11,0.6323529410834776,0.5333333331555555,0.5925925923731138,0.5614035035887966
