symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
ETHUSDT,4h,0.5,0.9999999999892357,0,929,207,165,286,271,0.5306781485411122,0.5564516128882674,0.4330543932963796,0.4870588185957094
ETHUSDT,4h,0.52,0.6846071044059784,293,636,132,112,192,200,0.509433962256141,0.5409836065352056,0.3975903614338075,0.4583333284341243
ETHUSDT,4h,0.55,0.26910656619731854,679,250,55,52,78,65,0.5319999999787199,0.514018691540746,0.4583333332951389,0.484581492771061
ETHUSDT,4h,0.6,0.010764262647892741,919,10,5,5,0,0,0.49999999949999996,0.49999999949999996,0.9999999980000001,0.6666666613333334
