symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
BTCUSDT,5m,0.5,0.9999999999984235,0,6343,1118,1057,2104,2064,0.5079615323971182,0.5140229885033838,0.3513513513502472,0.417397792449715
BTCUSDT,5m,0.52,0.7248935834767067,1745,4598,626,598,1713,1661,0.5086994345356488,0.5114379084925537,0.2737210319183484,0.35659355854373465
BTCUSDT,5m,0.55,0.38940564401641276,3873,2470,82,77,1186,1125,0.5133603238845613,0.5157232704078161,0.06793703396795413,0.12005856309498189
BTCUSDT,5m,0.6,0.12848809711472728,5528,815,0,0,424,391,0.5202453987666228,0.0,0.0,0.0
