symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
BTCUSDT,15m,0.5,0.9999999999974141,0,3867,1458,1323,570,516,0.5244375484858432,0.524271844658309,0.738601823704465,0.6132492064979054
BTCUSDT,15m,0.52,0.7323506594240178,1035,2832,1178,1034,334,286,0.5338983050828605,0.5325497287498528,0.8046448087376733,0.6409140322002733
BTCUSDT,15m,0.55,0.37910524954647246,2401,1466,691,580,117,78,0.5511596180044259,0.5436664044017021,0.8985695708595764,0.6774509756882883
BTCUSDT,15m,0.6,0.019136281355006113,3793,74,36,35,2,1,0.5135135134441199,0.5070422534497124,0.9729729727100073,0.6666666620387519
