symbol,resolution,threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
BTCUSDT,1h,0.5,0.9999999999993356,0,15054,4123,3641,3821,3469,0.5277002789952652,0.5310407006690739,0.543071654372309,0.5369887941663776
BTCUSDT,1h,0.51,0.8911252823164002,1639,13415,3725,3273,3379,3038,0.5295564666414241,0.5322949414110714,0.5507910690513813,0.5413850687598459
BTCUSDT,1h,0.52,0.7801913112788759,3309,11745,3332,2867,2942,2604,0.5341847594716609,0.5375060493619334,0.5613207547160355,0.5491553308069648
BTCUSDT,1h,0.53,0.6683273548554083,4993,10061,2931,2473,2521,2136,0.5418944438917186,0.5423760177636151,0.57844878626292,0.5598319117264859
BTCUSDT,1h,0.54,0.5494885080373658,6782,8272,2493,2074,2025,1680,0.546179883945181,0.5458725640452248,0.5974119338591004,0.5704805442079404
BTCUSDT,1h,0.55,0.43855453699984154,8452,6602,2058,1687,1562,1295,0.5483186913048345,0.5495327102789065,0.6137787056349127,0.5798816518183498
BTCUSDT,1h,0.56,0.33552544174283544,10003,5051,1671,1319,1133,928,0.5551375965144424,0.5588628762523116,0.6429395921483535,0.5979602741420309
BTCUSDT,1h,0.57,0.24950179354307858,11298,3756,1311,979,803,663,0.5628328008504717,0.5724890829669323,0.6641337385984594,0.6149155672572219
BTCUSDT,1h,0.58,0.1760329480535565,12404,2650,963,702,538,447,0.5664150943374853,0.5783783783749047,0.6829787233994116,0.6263414584449447
