threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
0.2,0.9999999999990482,0,10507,2042,4971,2728,766,0.45398305891267343,0.29117353486340913,0.7272079772053874,0.4158435963637955
0.25,0.9999999999990482,0,10507,999,2357,5342,1809,0.6035024269528851,0.29767580452831444,0.3557692307679638,0.3241401637600767
0.3,0.9999999999990482,0,10507,313,617,7082,2495,0.7038165032828554,0.33655913978132734,0.11146723646683951,0.1674692311461368
0.35,0.9999999999990482,0,10507,84,111,7588,2724,0.7301798800792517,0.43076923074714,0.029914529914423383,0.05594405472931334
0.4,0.9999999999990482,0,10507,23,22,7677,2785,0.7328447701525337,0.5111111109975308,0.008190883190854021,0.016123378588809367
0.5,0.9999999999990482,0,10507,5,5,7694,2803,0.7327495955070593,0.49999999949999996,0.0017806267806204394,0.0035486159689988484
