threshold,coverage,ignored,used_samples,TP,FP,TN,FN,accuracy,precision,recall,f1
0.5,0.9999999999993304,0,14936,1328,1145,6065,6398,0.49497857525408745,0.5369995956306632,0.17188713435131778,0.26041768433450274
0.51,0.9132297803957463,1296,13640,970,848,5768,6054,0.4939882697943592,0.5335533553325987,0.13809794988590818,0.21940737063012633
0.52,0.8149437600423038,2764,12172,642,540,5342,5648,0.49162011173143966,0.5431472081172323,0.10206677265484568,0.17184153909210234
0.53,0.7234199250129061,4131,10805,365,316,4948,5176,0.491716797778351,0.5359765051316303,0.06587258617566166,0.11732561682230266
0.54,0.6306239957146287,5517,9419,166,137,4481,4635,0.4933644760585058,0.5478547854604668,0.03457612997285029,0.06504702082649927
0.55,0.5331414033204785,6973,7963,48,45,3895,3975,0.49516513876617463,0.5161290322025668,0.011931394481700395,0.02332361471855194
0.56,0.4309051955005149,8500,6436,9,9,3211,3207,0.5003107520191108,0.4999999997222222,0.0027985074626778656,0.005565862597987755
0.57,0.3290037493302564,10022,4914,0,0,2484,2430,0.5054945054934769,0.0,0.0,0.0
0.58,0.23259239421516295,11462,3474,0,0,1770,1704,0.509499136440675,0.0,0.0,0.0
